Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS,
1,446.27500,446.27500, ,Simplex,FM,DriveOut,Large,None,100.0 Hz,023,High,Off,Auto,Off,,1500 Hz,
2,446.05000,446.05000, ,Simplex,FM,Launch,Large,None,100.0 Hz,023,High,Off,Auto,Off,,1500 Hz,
3,448.45000,443.45000,5.00 MHz,Minus,FM,PP COS,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
4,446.10000,446.10000, ,Simplex,FM,EOSS 1,Large,None,100.0 Hz,023,High,Off,5 kHz,Off,,1500 Hz,
5,446.15000,446.15000, ,Simplex,FM,EOSS 2,Large,None,100.0 Hz,023,High,Off,5 kHz,Off,,1500 Hz,
6,446.20000,446.20000, ,Simplex,FM,EOSS 3,Large,None,100.0 Hz,023,High,Off,5 kHz,Off,,1500 Hz,
7,449.97500,444.97500,5.00 MHz,Minus,FM,Fun Ramp,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,EchoLink=363976 IRLP=7301,300 Hz,
8,449.22500,444.22500,5.00 MHz,Minus,FM,Fun Den,Large,Tone,141.3 Hz,023,High,Skip,5 kHz,Off,,300 Hz,
9,146.94000,146.34000,600 kHz,Minus,FM,RM Squaw,Large,Tone,103.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
10,146.64000,146.04000,600 kHz,Minus,FM,RM Golde,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,,300 Hz,
11,144.20000,144.20000, ,Simplex,FM,NCF 2m,Large,None,100.0 Hz,023,High,Off,5 kHz,Off,,1500 Hz,
12,146.52000,146.52000, ,Simplex,FM,NSCF 2m,Large,None,100.0 Hz,023,High,Skip,5 kHz,Off,,1500 Hz,
13,432.10000,432.10000, ,Simplex,FM,NCF .7m,Large,None,100.0 Hz,023,High,Skip,5 kHz,Off,,1500 Hz,
14,446.00000,446.00000, ,Simplex,FM,NSCF .7m,Large,None,100.0 Hz,023,High,Skip,5 kHz,Off,,1500 Hz,
15,144.39000,144.39000, ,Simplex,FM,APRS,Large,None,100.0 Hz,023,High,Skip,5 kHz,Off,,1500 Hz,
16,144.34000,144.34000, ,Simplex,FM,APRS,Large,None,100.0 Hz,023,High,Skip,5 kHz,Off,,1500 Hz,
17,144.36000,144.36000, ,Simplex,FM,APRS,Large,None,100.0 Hz,023,High,Skip,5 kHz,Off,,1500 Hz,
18,145.13000,144.53000,600 kHz,Minus,FM,CC COS,Large,Tone,88.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
19,146.73000,146.13000,600 kHz,Minus,FM,CC FtCol,Large,Tone,91.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
20,145.31000,144.71000,600 kHz,Minus,FM,CC Bould,Large,Tone,88.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
21,145.40000,144.80000,600 kHz,Minus,FM,CC Akron,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
22,147.39000,147.99000,600 kHz,Plus,FM,CC Breck,Large,Tone,88.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
23,147.07500,147.67500,600 kHz,Plus,FM,CC Kreml,Large,Tone,88.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
24,145.44500,144.84500,600 kHz,Minus,FM,CC Leadv,Large,Tone,88.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
25,147.34500,147.94500,600 kHz,Plus,FM,CC Vail,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
26,146.76000,146.16000,600 kHz,Minus,FM,CC ???,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
27,147.36000,147.96000,600 kHz,Plus,FM,CC ???,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
28,448.00000,443.00000,5.00 MHz,Minus,FM,CC ???,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
29,448.10000,443.10000,5.00 MHz,Minus,FM,CC ???,Large,Tone,107.2 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
30,145.16000,144.56000,600 kHz,Minus,FM,CRA COS,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
31,145.14500,144.54500,600 kHz,Minus,FM,CRA Squa,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
32,147.22500,147.82500,600 kHz,Plus,FM,CRA West,Large,Tone,107.2 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
33,447.15000,442.15000,5.00 MHz,Minus,FM,CRA Den,Large,Tone,107.2 Hz,023,Medium,Skip,5 kHz,Off,,1500 Hz,
34,448.42500,443.42500,5.00 MHz,Minus,FM,CRA Den,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
35,447.57500,442.57500,5.00 MHz,Minus,FM,CRA Squa,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
36,447.97500,442.97500,5.00 MHz,Minus,FM,CRA Boul,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
37,146.97000,146.37000,600 kHz,Minus,FM,PP COS,Large,None,100.0 Hz,023,Medium,Off,5 kHz,Off,,1500 Hz,
38,145.26500,144.66500,600 kHz,Minus,FM,PP USAFA,Large,Tone,100.0 Hz,023,Medium,Select,5 kHz,Off,,300 Hz,
39,448.45000,443.45000,5.00 MHz,Minus,FM,PP COS,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
40,448.80000,443.80000,5.00 MHz,Minus,FM,PP USAFA,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
41,449.97500,444.97500,5.00 MHz,Minus,FM,Fun Ramp,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,EchoLink=363976 IRLP=7301,300 Hz,
42,449.22500,444.22500,5.00 MHz,Minus,FM,Fun Den,Large,Tone,141.3 Hz,023,High,Skip,5 kHz,Off,,300 Hz,
43,447.25000,442.25000,5.00 MHz,Minus,FM,Fun Cano,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,,300 Hz,
44,447.97500,442.97500,5.00 MHz,Minus,FM,Fun Cano,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,,300 Hz,
45,448.97500,443.97500,5.00 MHz,Minus,FM,Fun Pueb,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,,300 Hz,
46,447.62500,442.62500,5.00 MHz,Minus,FM,Fun BlkF,Large,Tone,100.0 Hz,023,High,Skip,5 kHz,Off,,300 Hz,
47,448.15000,443.15000,5.00 MHz,Minus,FM,Fun DIA,Large,Tone,141.3 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
48,447.27500,442.27500,5.00 MHz,Minus,FM,Fun Boon,Large,Tone,100.0 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
49,449.45000,444.45000,5.00 MHz,Minus,FM,RM Squaw,Large,Tone,103.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
50,145.34000,144.74000,600 kHz,Minus,FM,RM WDenv,Large,Tone,103.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
51,449.22500,444.22500,5.00 MHz,Minus,FM,RM Den,Large,Tone,141.3 Hz,023,High,Off,5 kHz,Off,,300 Hz,
52,146.94000,146.34000,600 kHz,Minus,FM,RM Squaw,Large,Tone,103.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
53,146.64000,146.04000,600 kHz,Minus,FM,RM Golde,Large,Tone,100.0 Hz,023,High,Off,5 kHz,Off,,300 Hz,
54,449.62500,444.62500,5.00 MHz,Minus,FM,RM WDenv,Large,Tone,141.3 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
55,449.75000,444.75000,5.00 MHz,Minus,FM,RM WDenv,Large,Tone,103.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
56,449.82500,444.82500,5.00 MHz,Minus,FM,RM Broom,Large,Tone,103.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
57,447.00000,442.00000,5.00 MHz,Minus,FM,KC0VJD,Large,Tone,103.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
58,447.22500,442.22500,5.00 MHz,Minus,FM,K0PRA,Large,None,88.5 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
59,448.02500,443.02500,5.00 MHz,Minus,FM,W0UPS,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
60,449.77500,444.77500,5.00 MHz,Minus,FM,W0TX,Large,None,88.5 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
61,447.17500,442.17500,5.00 MHz,Minus,FM,W0JRL,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
62,447.30000,442.30000,5.00 MHz,Minus,FM,AC0KC,Large,Tone,107.2 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
63,447.45000,442.45000,5.00 MHz,Minus,FM,KC0RBT,Large,Tone,123.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
64,448.52500,443.52500,5.00 MHz,Minus,FM,N0EPA,Large,Tone,151.4 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
65,449.25000,444.25000,5.00 MHz,Minus,FM,K0UPS,Large,Tone,123.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
66,449.30000,444.30000,5.00 MHz,Minus,FM,N1UPS,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
67,449.35000,444.35000,5.00 MHz,Minus,FM,W0TX,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
68,449.55000,444.55000,5.00 MHz,Minus,FM,W0IA,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
69,449.60000,444.60000,5.00 MHz,Minus,FM,N0PUF,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
70,449.80000,444.80000,5.00 MHz,Minus,FM,N0FH,Large,Tone,123.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
71,449.92500,444.92500,5.00 MHz,Minus,FM,K0EB,Large,Tone,114.8 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
72,145.11500,144.51500,600 kHz,Minus,FM,W0UPS,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
73,146.68500,146.08500,600 kHz,Minus,FM,N0FH,Large,Tone,123.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
74,146.61000,146.01000,600 kHz,Minus,FM,W0DK,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
75,146.70000,146.10000,600 kHz,Minus,FM,WB0QMR,Large,Tone,107.2 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
76,146.98500,146.38500,600 kHz,Minus,FM,K0FEZ,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
77,147.00000,147.60000,600 kHz,Plus,FM,KC0KWD,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
78,147.21000,147.81000,600 kHz,Plus,FM,KD0SSP,Large,Tone,100.0 Hz,023,Medium,Skip,5 kHz,Off,,300 Hz,
79,447.75000,442.75000,5.00 MHz,Minus,FM,N0SZ,Large,Tone,141.3 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
80,448.47500,443.47500,5.00 MHz,Minus,FM,KC0KWD,Large,Tone,100.0 Hz,023,Medium,Off,5 kHz,Off,,300 Hz,
